date,asset_ticker,asset_type,open,high,low,close,volume
2024-10-27,BTC,digital_currency,67008.15000000,68261.37000000,66836.78000000,67943.19000000,2819.59766921
2024-10-26,BTC,digital_currency,66564.51000000,67365.18000000,66331.95000000,67012.56000000,2949.21997010
2024-10-25,BTC,digital_currency,68156.84000000,68742.38000000,65500.01000000,66564.51000000,14485.49253537
2024-10-24,BTC,digital_currency,66601.10000000,68800.00000000,66445.32000000,68156.84000000,10016.19830413
2024-10-23,BTC,digital_currency,67389.70000000,67415.65000000,65149.51000000,66601.11000000,9021.17140157
2024-10-22,BTC,digital_currency,67346.15000000,67800.00000000,66535.00000000,67380.08000000,8598.06472763
2024-10-21,BTC,digital_currency,69014.87000000,69498.00000000,66802.00000000,67346.15000000,10226.59346669
2024-10-20,BTC,digital_currency,68363.73000000,69380.00000000,68083.18000000,69014.86000000,2632.89214855
2024-10-19,BTC,digital_currency,68426.11000000,68689.29000000,68005.83000000,68363.73000000,1868.86958754
2024-10-18,BTC,digital_currency,67399.86000000,69000.62000000,67149.24000000,68426.11000000,11802.74441943
2024-10-17,BTC,digital_currency,67608.45000000,67926.99000000,66629.97000000,67402.33000000,7912.22639285
2024-10-16,BTC,digital_currency,67056.62000000,68399.00000000,66743.00000000,67608.44000000,12465.75691229
2024-10-15,BTC,digital_currency,66065.64000000,67944.76000000,64778.44000000,67056.60000000,16324.01191342
2024-10-14,BTC,digital_currency,62847.89000000,66500.00000000,62426.67000000,66065.65000000,13638.71106556
2024-10-13,BTC,digital_currency,63183.08000000,63270.18000000,62033.00000000,62845.30000000,2257.61460657
